"dateEndOfInteraction","dateStartOfInteraction","endOfInteraction","startOfInteraction","subjectID","ID"
"28/04/2024","28/04/2024","13:40:29","13:38:42","sm07",""
"28/04/2024","28/04/2024","13:46:59","13:45:44","sm07",""
"28/04/2024","28/04/2024","14:21:23","14:20:11","sm07",""
"28/04/2024","28/04/2024","15:27:00","15:23:47","sm07",""
"28/04/2024","28/04/2024","15:43:00","15:36:21","sm07",""
"28/04/2024","28/04/2024","21:54:16","21:23:10","sm07",""
"28/04/2024","28/04/2024","21:55:45","21:54:52","sm07",""
"28/04/2024","28/04/2024","22:08:03","21:58:01","sm07",""
"18/03/2024","18/03/2024","20:32:01","20:23:43","uj20",""
"18/03/2024","18/03/2024","20:34:13","20:32:15","uj20",""
"18/03/2024","18/03/2024","20:42:36","20:34:16","uj20",""
"18/03/2024","18/03/2024","20:43:50","20:42:50","uj20",""
"18/03/2024","18/03/2024","20:44:46","20:43:57","uj20",""
"18/03/2024","18/03/2024","20:49:26","20:44:49","uj20",""
"18/03/2024","18/03/2024","20:49:58","20:49:27","uj20",""
"18/03/2024","18/03/2024","20:53:59","20:50:07","uj20",""
"18/03/2024","18/03/2024","20:55:17","20:54:00","uj20",""
"18/03/2024","18/03/2024","20:58:05","20:55:31","uj20",""
"18/03/2024","18/03/2024","21:04:36","20:58:08","uj20",""
"18/03/2024","18/03/2024","21:05:31","21:04:37","uj20",""
"18/03/2024","18/03/2024","21:19:38","21:06:25","uj20",""
"18/03/2024","18/03/2024","21:23:51","21:19:40","uj20",""
"18/03/2024","18/03/2024","21:25:22","21:24:12","uj20",""
"18/03/2024","18/03/2024","21:35:08","21:25:50","uj20",""
"18/03/2024","18/03/2024","21:35:36","21:35:19","uj20",""
"18/03/2024","18/03/2024","21:43:30","21:35:53","uj20",""
"18/03/2024","18/03/2024","21:44:54","21:43:39","uj20",""
"18/03/2024","18/03/2024","21:52:56","21:45:25","uj20",""
"18/03/2024","18/03/2024","21:54:30","21:53:06","uj20",""
"18/03/2024","18/03/2024","22:07:41","22:07:05","uj20",""
"18/03/2024","18/03/2024","22:10:03","22:09:34","uj20",""
"18/03/2024","18/03/2024","22:14:18","22:10:29","uj20",""
"18/03/2024","18/03/2024","22:15:58","22:14:22","uj20",""
"18/03/2024","18/03/2024","22:17:40","22:16:01","uj20",""
"18/03/2024","18/03/2024","22:18:00","22:17:42","uj20",""
"18/03/2024","18/03/2024","22:20:56","22:18:03","uj20",""
"18/03/2024","18/03/2024","22:31:40","22:20:58","uj20",""
"18/03/2024","18/03/2024","22:33:38","22:31:56","uj20",""
"18/03/2024","18/03/2024","22:36:13","22:33:50","uj20",""
"18/03/2024","18/03/2024","22:40:45","22:36:57","uj20",""
"18/03/2024","18/03/2024","22:44:05","22:40:49","uj20",""
"18/03/2024","18/03/2024","22:45:56","22:44:12","uj20",""
"18/03/2024","18/03/2024","22:46:18","22:45:56","uj20",""
"18/03/2024","18/03/2024","22:46:40","22:46:21","uj20",""
"18/03/2024","18/03/2024","22:48:20","22:46:44","uj20",""
"18/03/2024","18/03/2024","22:49:49","22:48:24","uj20",""
"18/03/2024","18/03/2024","22:50:11","22:49:52","uj20",""
"18/03/2024","18/03/2024","22:50:56","22:50:15","uj20",""
"18/03/2024","18/03/2024","22:51:51","22:51:02","uj20",""
"18/03/2024","18/03/2024","22:52:47","22:52:00","uj20",""
"18/03/2024","18/03/2024","22:55:44","22:53:12","uj20",""
"18/03/2024","18/03/2024","22:58:09","22:55:59","uj20",""
"18/03/2024","18/03/2024","22:58:53","22:58:12","uj20",""
"18/03/2024","18/03/2024","23:02:13","22:58:56","uj20",""
"18/03/2024","18/03/2024","23:02:35","23:02:13","uj20",""
"18/03/2024","18/03/2024","23:04:15","23:02:41","uj20",""
"18/03/2024","18/03/2024","23:06:39","23:04:29","uj20",""
"18/03/2024","18/03/2024","23:14:56","23:06:39","uj20",""
"18/03/2024","18/03/2024","23:17:32","23:15:23","uj20",""
"18/03/2024","18/03/2024","23:21:02","23:18:22","uj20",""
"18/03/2024","18/03/2024","23:25:45","23:21:05","uj20",""
"18/03/2024","18/03/2024","23:26:44","23:25:54","uj20",""
"18/03/2024","18/03/2024","23:29:42","23:26:51","uj20",""
"18/03/2024","18/03/2024","23:33:54","23:30:12","uj20",""
"18/03/2024","18/03/2024","23:35:51","23:34:17","uj20",""
"18/03/2024","18/03/2024","23:36:25","23:36:01","uj20",""
"18/03/2024","18/03/2024","23:38:28","23:36:30","uj20",""
"18/03/2024","18/03/2024","23:39:13","23:38:32","uj20",""
"18/03/2024","18/03/2024","23:40:53","23:39:23","uj20",""
"18/03/2024","18/03/2024","23:47:43","23:40:58","uj20",""
"18/03/2024","18/03/2024","23:48:41","23:47:58","uj20",""
"18/03/2024","18/03/2024","23:54:00","23:49:09","uj20",""
"18/03/2024","18/03/2024","23:58:34","23:54:30","uj20",""
"18/03/2024","18/03/2024","00:04:13","23:59:07","uj20",""
"19/03/2024","19/03/2024","00:06:14","00:04:53","uj20",""
"19/03/2024","19/03/2024","00:12:11","00:06:29","uj20",""
"19/03/2024","19/03/2024","00:13:42","00:13:00","uj20",""
"19/03/2024","19/03/2024","00:19:48","00:14:42","uj20",""
"19/03/2024","19/03/2024","00:22:01","00:21:06","uj20",""
"19/03/2024","19/03/2024","00:22:24","00:22:05","uj20",""
"19/03/2024","19/03/2024","00:28:17","00:22:30","uj20",""
"19/03/2024","19/03/2024","00:30:32","00:29:38","uj20",""
"19/03/2024","19/03/2024","00:36:22","00:30:33","uj20",""
"19/03/2024","19/03/2024","00:40:00","00:36:51","uj20",""
"19/03/2024","19/03/2024","00:41:16","00:40:05","uj20",""
"19/03/2024","19/03/2024","00:45:54","00:41:50","uj20",""
"19/03/2024","19/03/2024","00:51:41","00:46:15","uj20",""
"19/03/2024","19/03/2024","00:52:07","00:52:04","uj20",""
"19/03/2024","19/03/2024","00:56:57","00:52:17","uj20",""
"19/03/2024","19/03/2024","00:58:54","00:56:59","uj20",""
"19/03/2024","19/03/2024","00:59:46","00:59:33","uj20",""
"19/03/2024","19/03/2024","01:01:43","00:59:56","uj20",""
"19/03/2024","19/03/2024","01:02:28","01:01:45","uj20",""
"19/03/2024","19/03/2024","01:04:08","01:02:33","uj20",""
"19/03/2024","19/03/2024","01:08:55","01:04:11","uj20",""
"19/03/2024","19/03/2024","01:12:14","01:08:56","uj20",""
"19/03/2024","19/03/2024","01:20:56","01:13:17","uj20",""
"19/03/2024","19/03/2024","01:29:03","01:21:09","uj20",""
"19/03/2024","19/03/2024","01:29:54","01:29:04","uj20",""
